,sbb_stop_to_stop_lausanne_region.stop_id_a,sbb_stop_to_stop_lausanne_region.stop_id_b,sbb_stop_to_stop_lausanne_region.distance
2505,8588436,8595625,243.1445
2506,8588436,8595190,212.99713
2507,8588436,8593798,388.92447
2508,8588436,8579257,323.91876
2509,8588449,8588450,115.47312
2510,8588449,8579256,427.9437
2511,8588449,8588448,213.9132
2512,8591955,8591953,376.88962
2513,8591955,8591948,205.02205
2514,8591955,8591960,447.31882
2515,8591955,8591957,296.7632
2516,8592020,8501120:0:8,339.15115
2517,8592020,8501120:0:3,339.15115
2518,8592020,8592051,467.98065
2519,8592020,Parent8501120,339.15115
2520,8592020,8579254,434.53586
2521,8592020,8592062,403.73038
2522,8592020,8501120:0:5,339.15115
2523,8592020,8592050:0:F,206.30312
2524,8592020,8592050:0:H,353.54755
2525,8592020,8501120:0:70,339.15115
2526,8592020,8501120:0:6,339.15115
2527,8592020,8592050:0:C,353.54755
2528,8592020,8591979,283.69067
2529,8592020,8592050,353.54755
2530,8592020,8592026,466.0351
2531,8592020,8592052,327.41473
2532,8592020,8592050:0:D,353.54755
2533,8592020,8592072,208.87726
2534,8592020,8501120,339.15115
2535,8592020,8592079,146.61388
2536,8592020,Parent8592050,353.54755
2537,8592020,8501120:0:1,339.15115
2538,8592020,8501120:0:4,339.15115
2539,8592020,8501120:0:7,339.15115
2540,8592026,8591986,444.10284
2541,8592026,8592027,439.66913
2542,8592026,8592028,118.575226
2543,8592026,8592020,466.0351
2544,8592026,8592052,326.42532
2545,8592026,8592024,296.24435
2546,8592026,8592061,285.91672
2547,8592026,8592079,321.10727
2548,8592026,8592039,250.17387
2549,8592046,8592134,490.93484
2550,8592046,8591983,452.91354
2551,8592046,8591990,486.3078
2552,8592046,8592064,189.78769
2553,8592046,8592075,285.4079
2554,8592046,8592110,249.14871
2555,8592046,8592005,210.78836
2556,8592046,8592097,266.72247
2557,8592083,8592045,122.56588
2558,8592083,8592009,211.63174
2559,8592083,8591981,185.78423
2560,8592083,8592129,250.11455
2561,8592083,8592012,297.229
2562,8592083,8510574,194.60165
2563,8592083,8591999,320.50696
2564,8592083,8592038,407.17007
2565,8592083,8592043,349.09293
2566,8592083,8592123,330.60675
2567,8592177,8588434,341.7313
2568,8592177,8588450,439.03296
2569,8592177,8579256,136.6087
2570,8592177,8592171,264.59265
2571,8592206,8592178,326.1353
2572,8592206,8592208,204.88486
2573,8592206,8592205,493.22836
2574,8592206,8592222,323.45932
2575,8592206,8592207,407.04794
2576,8592206,8592212,215.35352
2577,Parent8504000,8504000:0:2,75.93089
2578,Parent8504000,8588446,492.45627
2579,Parent8504000,8588445,488.9993
2580,Parent8504000,8588445:0:B,487.1301
2581,Parent8504000,Parent8588445,488.9993
2582,Parent8504000,8592190,293.40906
2583,Parent8504000,8501121:0:2,399.00684
2584,Parent8504000,8588445:0:D,495.41827
2585,Parent8504000,8592183,368.62726
2586,Parent8504000,8501121:0:1,401.12524
2587,Parent8504000,8504000,0.0
2588,Parent8504000,8592188,258.23514
2589,Parent8504000,8504000:0:1,77.98116
2590,Parent8504000,8588447,418.91278
2591,Parent8504000,Parent8501121,432.48535
2592,Parent8504000,8592196,116.420845
2593,8501121:0:2,8504000:0:2,423.34534
2594,8501121:0:2,8588446,269.13165
2595,8501121:0:2,8588445,91.81998
2596,8501121:0:2,8588443,209.55713
2597,8501121:0:2,8588445:0:B,88.66824
2598,8501121:0:2,Parent8588445,91.81998
2599,8501121:0:2,8592190,458.06607
2600,8501121:0:2,Parent8504000,399.00684
2601,8501121:0:2,8588445:0:D,98.4019
2602,8501121:0:2,8588442,408.89096
